[2021-06-03T21:59:11.756-0800][gc,task     ] GC(224) Using 10 workers of 10 for evacuation
[2021-06-03T21:59:11.759-0800][gc,phases   ] GC(224)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T21:59:11.759-0800][gc,phases   ] GC(224)   Merge Heap Roots: 0.1ms
[2021-06-03T21:59:11.759-0800][gc,phases   ] GC(224)   Evacuate Collection Set: 0.8ms
[2021-06-03T21:59:11.759-0800][gc,phases   ] GC(224)   Post Evacuate Collection Set: 0.3ms
[2021-06-03T21:59:11.759-0800][gc,phases   ] GC(224)   Other: 7.9ms
[2021-06-03T21:59:11.759-0800][gc,heap     ] GC(224) Eden regions: 254->0(255)
[2021-06-03T21:59:11.759-0800][gc,heap     ] GC(224) Survivor regions: 2->1(32)
[2021-06-03T21:59:11.759-0800][gc,heap     ] GC(224) Old regions: 48->48
[2021-06-03T21:59:11.759-0800][gc,heap     ] GC(224) Archive regions: 2->2
[2021-06-03T21:59:11.759-0800][gc,heap     ] GC(224) Humongous regions: 164->164
[2021-06-03T21:59:11.759-0800][gc,metaspace] GC(224) Metaspace: 69385K(71344K)->69385K(71344K) NonClass: 61563K(62896K)->61563K(62896K) Class: 7822K(8448K)->7822K(8448K)
[2021-06-03T21:59:11.759-0800][gc          ] GC(224) Pause Young (Normal) (G1 Evacuation Pause) 467M->212M(512M) 9.437ms
[2021-06-03T21:59:11.759-0800][gc,cpu      ] GC(224) User=0.01s Sys=0.00s Real=0.00s
[2021-06-03T22:01:31.787-0800][gc,start    ] GC(225) Pause Young (Normal) (G1 Evacuation Pause)
[2021-06-03T22:01:31.788-0800][gc,task     ] GC(225) Using 10 workers of 10 for evacuation
[2021-06-03T22:01:31.791-0800][gc,phases   ] GC(225)   Pre Evacuate Collection Set: 0.2ms
[2021-06-03T22:01:31.791-0800][gc,phases   ] GC(225)   Merge Heap Roots: 0.1ms
[2021-06-03T22:01:31.791-0800][gc,phases   ] GC(225)   Evacuate Collection Set: 2.3ms
[2021-06-03T22:01:31.791-0800][gc,phases   ] GC(225)   Post Evacuate Collection Set: 0.5ms
[2021-06-03T22:01:31.791-0800][gc,phases   ] GC(225)   Other: 1.1ms
[2021-06-03T22:01:31.791-0800][gc,heap     ] GC(225) Eden regions: 255->0(254)
